MOTOR ALTITUDE TEMPERATURE PRESSURE
163 326 24.19 1017.08
172 319 24.19 1017.08
172 312 24.19 1017.08
172 311 24.19 1017.08
172 311 24.19 1017.08
172 311 24.19 1017.13
172 311 24.19 1017.13
172 311 24.19 1017.13
172 312 24.19 1017.13
172 312 24.19 1017.07
172 312 24.19 1017.07
171 312 24.19 1017.07
170 312 24.19 1017.07
169 311 24.19 1017.11
168 310 24.19 1017.11
177 307 24.19 1017.11
177 307 24.19 1017.11
177 309 24.20 1017.07
177 310 24.20 1017.07
177 311 24.20 1017.07
177 313 24.20 1017.07
186 315 24.18 1017.13
186 316 24.18 1017.13
186 319 24.18 1017.13
186 323 24.18 1017.13
186 332 24.19 1017.03
186 342 24.19 1017.03
